TAG_DATA_DATE,ACTUAL_VALUE,PREDICT_VALUE,RESIDUAL_VALUE
2018-12-08 01:38:00,355.45857,355.65492,-0.19635
2018-12-08 01:39:00,355.62,355.90434,-0.28434
2018-12-08 01:40:00,356.21575,355.71386,0.50189
2018-12-08 01:41:00,356.23401,355.96798,0.26603
2018-12-08 01:42:00,355.46656,355.67482,-0.20826
2018-12-08 01:43:00,355.242,355.71401,-0.47201
2018-12-08 01:44:00,356.15908,355.72509,0.43399
2018-12-08 01:45:00,354.57031,355.22202,-0.65171
2018-12-08 01:46:00,354.44901,355.21776,-0.76875
2018-12-08 01:47:00,355.44894,355.08423,0.36471
2018-12-08 01:48:00,355.55399,355.27028,0.28371
2018-12-08 01:49:00,356.32318,355.34884,0.97434
2018-12-08 01:50:00,356.40399,355.60019,0.8038
2018-12-08 01:51:00,355.69997,355.6349,0.06507
2018-12-08 01:52:00,355.62601,355.77274,-0.14673
2018-12-08 01:53:00,356.27121,355.79485,0.47636
2018-12-08 01:54:00,356.33899,356.01375,0.32524
2018-12-08 01:55:00,356.34622,355.94675,0.39947
2018-12-08 01:56:00,356.34698,356.06514,0.28184
2018-12-08 01:57:00,356.19949,356.23738,-0.03789
2018-12-08 01:58:00,356.18399,356.32551,-0.14152
2018-12-08 01:59:00,356.22111,356.31882,-0.09771
2018-12-08 02:00:00,356.22501,356.29239,-0.06738
2018-12-08 02:01:00,356.70371,356.5662,0.13751
2018-12-08 02:02:00,356.754,356.37401,0.37999
2018-12-08 02:03:00,356.72141,356.42621,0.2952
2018-12-08 02:04:00,356.71799,356.14131,0.57668
2018-12-08 02:05:00,356.76234,356.43507,0.32727
2018-12-08 02:06:00,356.767,356.29611,0.47089
2018-12-08 02:07:00,355.73628,356.05334,-0.31706
2018-12-08 02:08:00,355.62799,355.79831,-0.17032
2018-12-08 02:09:00,356.3981,355.44266,0.95544
2018-12-08 02:10:00,356.479,356.0654,0.4136
2018-12-08 02:11:00,356.85997,356.16733,0.69264
2018-12-08 02:12:00,356.89999,356.51506,0.38493
2018-12-08 02:13:00,357.12805,356.20018,0.92787
2018-12-08 02:14:00,357.15201,356.26508,0.88693
2018-12-08 02:15:00,356.63528,356.04816,0.58712
2018-12-08 02:16:00,356.58099,356.15156,0.42943
2018-12-08 02:17:00,357.1701,356.2256,0.9445
2018-12-08 02:18:00,357.23199,356.49806,0.73393
2018-12-08 02:19:00,357.97404,356.338,1.63604
2018-12-08 02:20:00,358.052,356.21856,1.83344
2018-12-08 02:21:00,356.64937,356.08653,0.56284
2018-12-08 02:22:00,356.50201,356.15676,0.34525
2018-12-08 02:23:00,356.69475,356.26218,0.43257
2018-12-08 02:24:00,356.715,356.481,0.234
2018-12-08 02:25:00,357.92219,356.66461,1.25758
2018-12-08 02:26:00,358.04901,356.80203,1.24698
2018-12-08 02:27:00,357.72775,356.97182,0.75593
2018-12-08 02:28:00,357.694,356.42323,1.27077
2018-12-08 02:29:00,356.36284,356.47911,-0.11627
2018-12-08 02:30:00,356.22299,356.42215,-0.19916
2018-12-08 02:31:00,356.10535,355.9056,0.19975
2018-12-08 02:32:00,356.09299,355.89903,0.19396
2018-12-08 02:33:00,356.59163,356.39308,0.19855
2018-12-08 02:34:00,356.64401,356.38671,0.2573
2018-12-08 02:35:00,357.00054,356.53704,0.4635
2018-12-08 02:36:00,357.03799,356.72908,0.30891
2018-12-08 02:37:00,357.27781,356.57364,0.70417
2018-12-08 02:38:00,357.30301,356.60541,0.6976
2018-12-08 02:39:00,356.82157,356.41542,0.40615
2018-12-08 02:40:00,356.771,356.58081,0.19019
2018-12-08 02:41:00,357.5791,356.91058,0.66852
2018-12-08 02:42:00,357.664,356.78586,0.87814
2018-12-08 02:43:00,357.45859,356.5503,0.90829
2018-12-08 02:44:00,357.43701,356.67492,0.76209
2018-12-08 02:45:00,356.50764,356.43822,0.06942
2018-12-08 02:46:00,356.41,356.28948,0.12052
2018-12-08 02:47:00,356.18648,356.43283,-0.24635
2018-12-08 02:48:00,356.16299,356.32612,-0.16313
2018-12-08 02:49:00,356.65619,356.51302,0.14317
2018-12-08 02:50:00,356.70801,356.66354,0.04447
2018-12-08 02:51:00,356.2836,356.9436,-0.66
2018-12-08 02:52:00,356.23901,357.14087,-0.90186
2018-12-08 02:53:00,357.71041,356.85948,0.85093
